Date,SENSEX.BO,TCS.BO,TATAMOTORS.BO,SUNPHARMA.BO,ITC.BO,INFOSYS.BO,ICICIBANK.BO,AXISBANK.BO,ASIANPAINTS.BO
5/20/2014,24376.88086,2063.050049,439.75,587.299988,341.2995,3119.052002,1449.400024,9278.75,529.049988
5/21/2014,24298.01953,2079.949951,437.100006,577.150024,342.100494,3150.647949,1439.349976,9076.25,545.150024
5/22/2014,24374.40039,2109.300049,430.399994,580.099976,344.800507,3107.199951,1451.349976,9205.75,537.650024
5/23/2014,24693.34961,2127.399902,431.399994,584.700012,342.150024,3066.5,1460.75,9324.75,538.849976
5/26/2014,24716.88086,2153.649902,443.299988,591.900024,344.899506,3093.852051,1452.550049,9369,524.5
5/27/2014,24549.50977,2130.449951,436.450012,592.25,344.400024,3133.899902,1447.5,9242.75,522.200012
5/28/2014,24556.08984,2149.850098,428.850006,583.900024,343.049988,3172.199951,1456.150024,9306,512.099976
5/29/2014,24234.15039,2159.100098,423.799988,587.599976,342.550507,2924.300049,1437.850098,9327.75,506.75
5/30/2014,24217.33984,2144.199951,415.450012,607.400024,341.500519,2941.5,1418.399902,9180.75,509.450012
6/2/2014,24684.84961,2129.899902,421.100006,599.25,337.349976,2993.5,1462.400024,9511.75,509.899994
6/3/2014,24858.58984,2130.300049,420.450012,601.150024,333.450012,3015.399902,1458.25,9497.5,509.299988
6/4/2014,24805.83008,2089.399902,421.700012,597.75,330.949493,2993.699951,1469.199951,9623.25,509.100006
6/5/2014,25019.50977,2105.550049,434.799988,597.849976,333.400513,3037.947998,1460.949951,9734.5,510.75
6/6/2014,25396.46094,2084.050049,438.549988,599.349976,336.949493,2999.800049,1481.75,9870,506.350006
6/9/2014,25580.21094,2115.25,443.653015,601.25,338.650513,2985.699951,1486.600098,1966.199951,528.400024
6/10/2014,25583.68945,2157.100098,452.299988,608.75,337.349976,3067.199951,1481.25,9677.5,535.650024
6/11/2014,25473.89063,2205.25,445.600006,613.5,333.250519,3178.751953,1468.200073,9706.5,541.849976
6/12/2014,25576.21094,2232.100098,449.649994,630.700012,335.050507,3166.600098,1459.900024,9522.5,547.900024
6/13/2014,25228.16992,2214.699951,437.799988,627.900024,333.7005,3181.647949,1429.550049,9095.5,540.450012
6/16/2014,25190.48047,2268.550049,430.899994,643.549988,336,3242.199951,1415.650024,8861.25,539.650024
6/17/2014,25521.18945,2278.149902,440.649994,647.900024,336.299988,3247.248047,1449.100098,9197.25,559.700012
6/18/2014,25246.25,2225.449951,433.850006,635.049988,333.0495,3244.552002,1420.399902,9236,556.099976
6/19/2014,25201.80078,2275.100098,438.450012,641.950012,336.299988,3312.399902,1411.5,9213.75,567.599976
6/20/2014,25105.50977,2286.5,436.850006,631.150024,335.899506,3315.600098,1398.800049,9338.25,566.650024
6/23/2014,25031.32031,2264.75,435.549988,633,314.050507,3231.052002,1413.25,9416.75,572.599976
6/24/2014,25368.90039,2304.300049,442.149994,627.599976,320.400024,3210.300049,1438.599976,9623.25,578.5
6/25/2014,25313.74023,2309.899902,443.399994,632.650024,316.049988,3212.800049,1419.849976,9569.25,585.849976
6/26/2014,25062.66992,2309.399902,437.950012,635.400024,316.249481,3189.399902,1403.300049,9632,584.950012
6/27/2014,25099.91992,2398.399902,432.25,660.650024,319.849487,3221.947998,1384.799927,9553.5,583.549988
6/30/2014,25413.7793,2419.449951,431.149994,686.25,324.900024,3246.447998,1418.449951,9607,592.700012
7/1/2014,25516.34961,2390.399902,450.950012,679.400024,325.150513,3221.751953,1437.700073,9601.5,583.599976
7/2/2014,25841.21094,2397.050049,455,693.950012,328.999481,3218.5,1452.25,9633.75,584.75
7/3/2014,25823.75,2417.75,468.799988,706.349976,331.249481,3210.751953,1451.699951,9624.5,580.849976
7/4/2014,25962.06055,2409.800049,468.450012,708.549988,333.299988,3239.147949,1462.449951,9672.5,588.200012
7/7/2014,26100.08008,2483.5,478.75,719.849976,334.600494,3343.751953,1450.949951,9612.25,592.950012
